FE|Transport|w/o Bunkers|Electricity                     	FE|Transport|Electricity      
FE|Transport|w/o Bunkers|Gases                           	FE|Transport|Gases     
FE|Transport|w/o Bunkers|Hydrogen                        	FE|Transport|Hydrogen     
FE|Transport|w/o Bunkers|Liquids                         	FE|Transport|Liquids
FE|Transport|w/o Bunkers|Gases|Biomass                   	NA
FE|Transport|w/o Bunkers|Gases|Fossil                    	NA
FE|Transport|w/o Bunkers|Gases|Hydrogen                  	NA
FE|Transport|w/o Bunkers|Liquids|Biomass                 	NA
FE|Transport|w/o Bunkers|Liquids|Fossil                  	NA
FE|Transport|w/o Bunkers|Liquids|Hydrogen                	NA
SE|Input|Electricity|Transport	NA
Emi|CO2|Energy|Demand|Transport|w/o bunkers	Emi|CO2|Energy|Demand|Transport
Emi|CO2|Energy|Demand|Transport|International Bunkers	Emi|CO2|Energy|Demand|Transport|Bunkers
Emi|CO2|Energy|Demand|Transport|w/ bunkers	Emi|CO2|Energy|Demand|Transport with bunkers
Emi|CO2|Energy|Demand|Transport	Emi|CO2|Energy|Demand|Transport with bunkers
Emi|CO2|Energy|Demand|Transport|Gases	Emi|CO2|Energy|Demand|Transport with bunkers|Gases
Emi|CO2|Energy|Demand|Transport|Liquids	Emi|CO2|Energy|Demand|Transport with bunkers|Liquids
FE|Transport|Pass	FE|Transport|Pass
FE|Transport|Pass|Liquids	FE|Transport|Pass|Liquids
FE|Transport|Freight	FE|Transport|Freight
